State,Average Aggregate Exp
Andhra Pradesh,39040.46056
Arunachal Pradesh,2843.237
Assam,12344.89528
Bihar,24772.99361
Chhattisgarh,22332.20625
Goa,3102.849333
Gujarat,31639.89917
Haryana,15310.54333
Himachal Pradesh,6944.946111
Jammu & Kashmir,10686.97389
Jharkhand,23285.22733
Karnataka,31700.09028
Kerala,20041.27722
Madhya Pradesh,27887.50083
Maharashtra,57658.59111
Manipur,2478.591944
Meghalaya,2139.948611
Mizoram,2098.043548
Nagaland,2438.249167
Odisha,16696.53194
Punjab,16569.04083
Rajasthan,27209.48444
Sikkim,1658.917778
Tamil Nadu,39140.70722
Telangana,107508.585
Tripura,2807.301944
Uttar Pradesh,60578.99722
Uttarakhand,12906.27125
West Bengal,32879.23889
Delhi,15428.40783
Puducherry,3860.264545
