State,Avg exp
Andhra Pradesh,8301.957
Arunachal Pradesh,818.9907
Assam,2142.878
Bihar,5558.813
Chhattisgarh,4449.17
Goa,659.504
Gujarat,7750.015
Haryana,2694.94
Himachal Pradesh,1464.317
Jammu & Kashmir,2725.898
Jharkhand,5436.669
Karnataka,6635.391
Kerala,2748.601
Madhya Pradesh,6540.336
Maharashtra,10522.51
Manipur,690.9681
Meghalaya,416.8636
Mizoram,405.6152
Nagaland,562.7394
Odisha,3371.277
Punjab,2588.736
Rajasthan,5599.856
Sikkim,321.5681
Tamil Nadu,7440.239
Telangana,5200.899
Tripura,780.9931
Uttar Pradesh,14040.02
Uttarakhand,2901.353
West Bengal,5489.234
Delhi,5849.94
Puducherry,539.7345
