"District","State","Yearcode","Ground_water_level","ID","SDP","gini"
"adilabad","telangana",2012,0.939696157545726,5012012,"334205",0.37
"adilabad","telangana",2020,1.49422676011242,5012020,"537753",0.37
"adilabad","telangana",2013,0.834179867188176,5012013,"349593",0.37
"adilabad","telangana",2015,1.67250575757311,5012015,"416892",0.37
"adilabad","telangana",2019,1.74132974263933,5012019,"572736",0.37
"adilabad","telangana",2011,0.848069044897323,5012011,"325139",0.37
"adilabad","telangana",2021,1.40301424978369,5012021,"599614",0.37
"adilabad","telangana",2018,1.8742097860955,5012018,"544441",0.37
"adilabad","telangana",2014,1.40591646602142,5012014,"372897",0.37
"adilabad","telangana",2017,1.8431146121198,5012017,"498145",0.37
"agra","uttar pradesh",2020,30.7383333333333,1182020,"910011",0.26
"agra","uttar pradesh",2011,13.1825,1182011,"645132",0.26
"agra","uttar pradesh",2014,11.935,1182014,"729686",0.26
"agra","uttar pradesh",2019,29.3283333333333,1182019,"980106",0.26
"agra","uttar pradesh",2015,12.32,1182015,"792049",0.26
"agra","uttar pradesh",2012,12.4366666666667,1182012,"673552",0.26
"agra","uttar pradesh",2017,20.772,1182017,"922458",0.26
"agra","uttar pradesh",2021,45.066,1182021,"948839",0.26
"agra","uttar pradesh",2018,20.5485714285714,1182018,"949184",0.26
"agra","uttar pradesh",2013,11.61,1182013,"707469",0.26
"agra","uttar pradesh",2016,17.6075,1182016,"888453",0.26
"ajmer","rajasthan",2020,6.31666666666667,862020,"583645",0.31
"ajmer","rajasthan",2019,9.425,862019,"598550",0.31
"ajmer","rajasthan",2018,8.98,862018,"568102",0.31
"ajmer","rajasthan",2016,11.92,862016,"529650",0.31
"ajmer","rajasthan",2013,7.7225,862013,"434292",0.31
"ajmer","rajasthan",2011,8.455,862011,"395331",0.31
"ajmer","rajasthan",2014,8.0225,862014,"465408",0.31
"ajmer","rajasthan",2012,8.2,862012,"409802",0.31
"ajmer","rajasthan",2015,7.7675,862015,"501922",0.31
"ajmer","rajasthan",2021,8.38,862021,"648142",0.31
"ajmer","rajasthan",2017,7.585,862017,"557618",0.31
"akola","maharashtra",2011,9.25454269069764,4672011,"1126595",0.25
"akola","maharashtra",2019,11.5789078446221,4672019,"1782903",0.25
"akola","maharashtra",2017,12.4731029491729,4672017,"1661065",0.25
"akola","maharashtra",2013,8.75688250304993,4672013,"1267551",0.25
"akola","maharashtra",2016,11.5535334746457,4672016,"1596121",0.25
"akola","maharashtra",2020,8.21709411840846,4672020,"1653094",0.25
"akola","maharashtra",2021,9.63197983924378,4672021,"-",0.25
"akola","maharashtra",2012,10.6178228919624,4672012,"1189711",0.25
"akola","maharashtra",2014,9.76657926336907,4672014,"1345341",0.25
"akola","maharashtra",2018,11.2379419700831,4672018,"1728578",0.25
"akola","maharashtra",2015,10.5883454982154,4672015,"1452513",0.25
"alappuzha","kerala",2014,3.24,5542014,"382134",0.32
"alappuzha","kerala",2021,4.57,5542021,"506107",0.32
"alappuzha","kerala",2011,3.215,5542011,"328021",0.32
"alappuzha","kerala",2020,6.08583333333333,5542020,"472272",0.32
"alappuzha","kerala",2018,3.208,5542018,"510787",0.32
"alappuzha","kerala",2013,3.595,5542013,"364707",0.32
"alappuzha","kerala",2017,3.235,5542017,"473182",0.32
"alappuzha","kerala",2016,3.2325,5542016,"443615",0.32
"alappuzha","kerala",2012,3.28666666666667,5542012,"348616",0.32
"alappuzha","kerala",2015,3.52,5542015,"411150",0.32
"alappuzha","kerala",2019,4.40444444444444,5542019,"521455",0.32
"aligarh","uttar pradesh",2017,10.79,1192017,"922458",0.28
"aligarh","uttar pradesh",2016,7.3475,1192016,"888453",0.28
"aligarh","uttar pradesh",2012,6.79,1192012,"673552",0.28
"aligarh","uttar pradesh",2015,7.7025,1192015,"792049",0.28
"aligarh","uttar pradesh",2018,11.2385714285714,1192018,"949184",0.28
"aligarh","uttar pradesh",2019,26.7341666666667,1192019,"980106",0.28
"aligarh","uttar pradesh",2020,20.7191666666667,1192020,"910011",0.28
"aligarh","uttar pradesh",2013,6.85,1192013,"707469",0.28
"aligarh","uttar pradesh",2021,74.826,1192021,"948839",0.28
"aligarh","uttar pradesh",2011,6.6375,1192011,"645132",0.28
"aligarh","uttar pradesh",2014,6.8275,1192014,"729686",0.28
"alirajpur","madhya pradesh",2020,5.15333333333333,6392020,"490238",0.32
"alirajpur","madhya pradesh",2019,5.38,6392019,"508146",0.32
"alirajpur","madhya pradesh",2011,7.53,6392011,"282371",0.32
"alirajpur","madhya pradesh",2015,6.315,6392015,"370716",0.32
"alirajpur","madhya pradesh",2017,6.335,6392017,"441956",0.32
"alirajpur","madhya pradesh",2012,7.78,6392012,"306853",0.32
"alirajpur","madhya pradesh",2014,5.9875,6392014,"339247",0.32
"alirajpur","madhya pradesh",2021,6.08,6392021,"539180",0.32
"alirajpur","madhya pradesh",2013,6.0225,6392013,"322598",0.32
"alirajpur","madhya pradesh",2018,7.595,6392018,"482361",0.32
"alirajpur","madhya pradesh",2016,6.09,6392016,"419465",0.32
"almora","uttarakhand",2014,14.965,452014,"125702",0.27
"almora","uttarakhand",2021,35.27,452021,"167487",0.27
"almora","uttarakhand",2012,20.9533333333333,452012,"109528",0.27
"almora","uttarakhand",2017,15.145,452017,"162205",0.27
"almora","uttarakhand",2020,22.1833333333333,452020,"156792",0.27
"almora","uttarakhand",2018,23.475,452018,"166519",0.27
"almora","uttarakhand",2016,15.9666666666667,452016,"150303",0.27
"almora","uttarakhand",2011,20.9025,452011,"101960",0.27
"almora","uttarakhand",2015,14.435,452015,"136144",0.27
"almora","uttarakhand",2019,30.3575,452019,"166351",0.27
"almora","uttarakhand",2013,21.685,452013,"117778",0.27
"alwar","rajasthan",2019,33.875,872019,"598550",0.39
"alwar","rajasthan",2017,33.305,872017,"557618",0.39
"alwar","rajasthan",2020,34.63,872020,"583645",0.39
"alwar","rajasthan",2015,28.79,872015,"501922",0.39
"alwar","rajasthan",2021,34.24,872021,"648142",0.39
"alwar","rajasthan",2018,32.6966666666667,872018,"568102",0.39
"alwar","rajasthan",2013,24.92,872013,"434292",0.39
"alwar","rajasthan",2012,24.22,872012,"409802",0.39
"alwar","rajasthan",2014,27.145,872014,"465408",0.39
"alwar","rajasthan",2011,23.935,872011,"395331",0.39
"alwar","rajasthan",2016,26.875,872016,"529650",0.39
"ambala","haryana",2011,15.16,582011,"289756",0.37
"ambala","haryana",2020,15.8266666666667,582020,"480471",0.37
"ambala","haryana",2014,16.1,582014,"333359",0.37
"ambala","haryana",2021,12.75,582021,"527733",0.37
"ambala","haryana",2016,16.6975,582016,"412055",0.37
"ambala","haryana",2019,17.9833333333333,582019,"507776",0.37
"ambala","haryana",2011,15.16,582011,"271152",0.37
"ambala","haryana",2017,18.09,582017,"434407",0.37
"ambala","haryana",2013,15.245,582013,"314931",0.37
"ambala","haryana",2015,11.4675,582015,"372700",0.37
"ambala","haryana",2018,16.612,582018,"470328",0.37
"ambedkar nagar","uttar pradesh",2014,4.13,1212014,"729686",0.22
"ambedkar nagar","uttar pradesh",2016,5.3,1212016,"888453",0.22
"ambedkar nagar","uttar pradesh",2012,4.73666666666667,1212012,"673552",0.22
"ambedkar nagar","uttar pradesh",2021,12.124,1212021,"948839",0.22
"ambedkar nagar","uttar pradesh",2019,11.1083333333333,1212019,"980106",0.22
"ambedkar nagar","uttar pradesh",2017,7.692,1212017,"922458",0.22
"ambedkar nagar","uttar pradesh",2015,4.6825,1212015,"792049",0.22
"ambedkar nagar","uttar pradesh",2018,9.99571428571429,1212018,"949184",0.22
"ambedkar nagar","uttar pradesh",2013,3.705,1212013,"707469",0.22
"ambedkar nagar","uttar pradesh",2020,9.325,1212020,"910011",0.22
"ambedkar nagar","uttar pradesh",2011,3.86,1212011,"645132",0.22
"amravati","maharashtra",2016,9.0239665253543,4682016,"1596121",0.29
"amravati","maharashtra",2015,7.23165450178461,4682015,"1452513",0.29
"amravati","maharashtra",2011,6.36295730930237,4682011,"1126595",0.29
